experiment,features,aggregator,input_dim,parameters,val_f1,test_micro_f1,test_macro_f1
Baseline-MEAN,Baseline,MEAN,50,87929,0.7005999128187714,0.7207712825072238,0.5989965165913267
Augmented-MEAN,Augmented,MEAN,52,88953,0.7099092311470446,0.7307066690764504,0.612842459498579
Baseline-MAX,Baseline,MAX,50,87929,0.7467993599908705,0.7676239201265802,0.6923730459340819
Augmented-MAX,Augmented,MAX,52,88953,0.7509841104985696,0.7730276850526496,0.6958943465636415
