experiment,aggregator,train_on,test_on,val_f1,cross_graph_f1,original_test_f1
Low→High,MEAN,Low-degree,High-degree,0.4890509957714003,0.495309455759542,0.4964612539710136
High→Low,MEAN,High-degree,Low-degree,0.4699804137143568,0.47729735797669043,0.4751833004943933
Low→High,MAX,Low-degree,High-degree,0.4830608342973947,0.4885979562598447,0.48996662344145914
High→Low,MAX,High-degree,Low-degree,0.46495674661296227,0.4731067474493986,0.4702040544589062
